FT    ID    AT    WT    ST
2     3     1     0     1
7     9     2     0     5
8     14     3     0     5
9     5     1     0     8
11     13     3     0     8
13     1     1     0     12
14     6     1     0     13
14     7     1     0     13
15     11     2     5     8
15     10     2     0     13
16     2     1     0     15
20     18     4     4     12
20     4     1     0     19
21     35     15     5     1
21     17     3     13     5
22     8     1     0     21
28     15     3     11     14
37     33     13     1     23
55     22     7     4     44
56     25     8     40     8
59     37     15     4     40
61     24     8     32     21
62     26     8     1     53
66     34     15     1     50
66     32     12     2     52
69     29     10     46     13
79     23     8     13     58
104     30     10     55     39
124     31     11     60     53
Orders: 29 [Norm:1, Veg:13, VIP:10]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:12]
Avg Wait = 10.2414, Avg Serv = 21.6207
Urgent orders: 5,  Auto-promoted: 40%
